population;site;sample_type;substrate;L;Z;structure;species;hybride_score
umba_sovhoz;umba_sovhoz;unsystematic;any;28.8;0.753968254;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;28.3;0;0.701;hybrid;5
umba_sovhoz;umba_sovhoz;unsystematic;any;28.1;0.43220339;0.244;hybrid;2
umba_sovhoz;umba_sovhoz;unsystematic;any;26.1;0.442105263;0.861;hybrid;6
umba_sovhoz;umba_sovhoz;unsystematic;any;27.3;0.232142857;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;28;0.504132231;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;28.6;0.6;0.042;edulis;1
umba_sovhoz;umba_sovhoz;unsystematic;any;23.8;0.408163265;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;41.2;0.964705882;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;43.7;0.890547264;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;40.1;1;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;40.1;0.604395604;0.054;edulis;1
umba_sovhoz;umba_sovhoz;unsystematic;any;43.9;1;0.012;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;30.8;0.910447761;0.118;hybrid;2
umba_sovhoz;umba_sovhoz;unsystematic;any;29.1;0.902439024;0.042;edulis;1
umba_sovhoz;umba_sovhoz;unsystematic;any;45.2;0.819004525;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;45;0.685714286;0.014;edulis;1
umba_sovhoz;umba_sovhoz;unsystematic;any;NA;1;0.989;trossulus;8
umba_sovhoz;umba_sovhoz;unsystematic;any;38.9;NA;0.01;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;32.9;0.97810219;0.182;hybrid;2
umba_sovhoz;umba_sovhoz;unsystematic;any;35.9;1.019230769;0.06;edulis;2
umba_sovhoz;umba_sovhoz;unsystematic;any;39.9;0.81875;0.218;hybrid;2
umba_sovhoz;umba_sovhoz;unsystematic;any;38;0.870786517;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;45.1;0.769585253;0.018;edulis;2
umba_sovhoz;umba_sovhoz;unsystematic;any;40.7;0.952380952;0.01;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;42;0.916666667;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;NA;0.894117647;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;43.5;0.917431193;0.012;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;39.5;0.940828402;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;33.9;1.02;0.01;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;41.4;0.959302326;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;40.4;1;0.015;edulis;1
umba_sovhoz;umba_sovhoz;unsystematic;any;45.2;0.572864322;0.041;edulis;1
umba_sovhoz;umba_sovhoz;unsystematic;any;38;1;0.01;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;39.9;0.887640449;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;41.3;NA;0.011;edulis;0
umba_sovhoz;umba_sovhoz;unsystematic;any;38.1;1;0.941;trossulus;7
umba_sovhoz;umba_sovhoz;unsystematic;any;39.8;0.575;0.976;trossulus;7
umba_sovhoz;umba_sovhoz;unsystematic;any;39;0.626506024;0.379;hybrid;3
umba_sovhoz;umba_sovhoz;unsystematic;any;NA;0.516129032;0.011;edulis;0
umba_pikut;umba_pikut;unsystematic;any;33.5;0.535714286;0.832;hybrid;5
umba_pikut;umba_pikut;unsystematic;any;30.8;0.444444444;0.28;hybrid;3
umba_pikut;umba_pikut;unsystematic;any;28.1;0.745454545;0.56;hybrid;4
umba_pikut;umba_pikut;unsystematic;any;26.9;0.318181818;0.428;hybrid;3
umba_pikut;umba_pikut;unsystematic;any;26.4;0.4;0.973;trossulus;7
umba_pikut;umba_pikut;unsystematic;any;26.6;0;0.971;trossulus;7
umba_pikut;umba_pikut;unsystematic;any;25.8;0.5;0.394;hybrid;3
umba_pikut;umba_pikut;unsystematic;any;NA;0;0.99;trossulus;8
umba_pikut;umba_pikut;unsystematic;any;NA;0;0.99;trossulus;8
umba_pikut;umba_pikut;unsystematic;any;NA;0;0.989;trossulus;8
umba_pikut;umba_pikut;unsystematic;any;NA;0;0.99;trossulus;8
umba_pikut;umba_pikut;unsystematic;any;NA;0.387931034;0.99;trossulus;8
umba_pikut;umba_pikut;unsystematic;any;50.1;0.939914163;0.011;edulis;0
umba_pikut;umba_pikut;unsystematic;any;19.2;0.65;0.014;edulis;1
umba_pikut;umba_pikut;unsystematic;any;21.7;0;0.7;hybrid;5
umba_pikut;umba_pikut;unsystematic;any;28.8;0.375;0.393;hybrid;3
umba_pikut;umba_pikut;unsystematic;any;24;0.816326531;0.011;edulis;0
umba_pikut;umba_pikut;unsystematic;any;46.2;0.822966507;0.09;hybrid;1
umba_pikut;umba_pikut;unsystematic;any;51.7;0.863247863;0.011;edulis;0
umba_pikut;umba_pikut;unsystematic;any;46.2;1;0.01;edulis;0
umba_pikut;umba_pikut;unsystematic;any;38.4;0.892473118;0.011;edulis;0
umba_pikut;umba_pikut;unsystematic;any;48.6;0.915322581;0.013;edulis;1
umba_pikut;umba_pikut;unsystematic;any;35.4;0.956284153;0.014;edulis;1
umba_pikut;umba_pikut;unsystematic;any;37.7;0.843243243;0.018;edulis;2
umba_pikut;umba_pikut;unsystematic;any;43.2;1.018691589;0.011;edulis;0
umba_pikut;umba_pikut;unsystematic;any;46.8;0.881278539;0.011;edulis;0
umba_pikut;umba_pikut;unsystematic;any;26.5;0.722222222;0.973;trossulus;7
umba_pikut;umba_pikut;unsystematic;any;30.4;0.448;0.522;hybrid;4
umba_pikut;umba_pikut;unsystematic;any;33.5;0.612244898;0.385;hybrid;3
umba_pikut;umba_pikut;unsystematic;any;35.3;0;0.975;trossulus;7
umba_pioner;umba_pioner;unsystematic;any;14.8;0.357142857;0.218;hybrid;2
umba_pioner;umba_pioner;unsystematic;any;18.4;0.774647887;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;18.2;0.44;0.013;edulis;1
umba_pioner;umba_pioner;unsystematic;any;9.8;NA;0.055;edulis;1
umba_pioner;umba_pioner;unsystematic;any;NA;NA;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;22.6;0.885057471;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;21.3;0.684210526;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;24.7;0.691489362;0.014;edulis;1
umba_pioner;umba_pioner;unsystematic;any;NA;NA;0.01;edulis;0
umba_pioner;umba_pioner;unsystematic;any;28.4;0.836065574;0.07;hybrid;2
umba_pioner;umba_pioner;unsystematic;any;23.3;0.944444444;0.161;hybrid;2
umba_pioner;umba_pioner;unsystematic;any;20.4;0.682352941;0.013;edulis;1
umba_pioner;umba_pioner;unsystematic;any;17.6;0.9375;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;36.8;0.939393939;0.042;edulis;1
umba_pioner;umba_pioner;unsystematic;any;24.4;0.836206897;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;24.2;0.915789474;0.014;edulis;1
umba_pioner;umba_pioner;unsystematic;any;34.5;0.813333333;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;36.8;1;0.014;edulis;1
umba_pioner;umba_pioner;unsystematic;any;37.2;0.719745223;0.99;trossulus;8
umba_pioner;umba_pioner;unsystematic;any;38.3;0.922155689;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;33.9;0.992857143;0.224;hybrid;2
umba_pioner;umba_pioner;unsystematic;any;30.1;0.873015873;0.012;edulis;0
umba_pioner;umba_pioner;unsystematic;any;31.9;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;31.3;0.821428571;0.186;hybrid;2
umba_pioner;umba_pioner;unsystematic;any;30.7;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;31;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;31.2;1;0.232;hybrid;3
umba_pioner;umba_pioner;unsystematic;any;32.7;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;18.2;0.92;0.041;edulis;1
umba_pioner;umba_pioner;unsystematic;any;19.4;NA;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;38;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;23.7;0.842105263;0.014;edulis;1
umba_pioner;umba_pioner;unsystematic;any;25.3;0.932692308;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;21.7;1;0.042;edulis;1
umba_pioner;umba_pioner;unsystematic;any;33.8;0.946666667;0.216;hybrid;2
umba_pioner;umba_pioner;unsystematic;any;31.9;0.969465649;0.059;edulis;2
umba_pioner;umba_pioner;unsystematic;any;33.9;0.96969697;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;38.8;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;36.2;0.941176471;0.171;hybrid;2
umba_pioner;umba_pioner;unsystematic;any;NA;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;46.3;NA;0.119;hybrid;1
umba_pioner;umba_pioner;unsystematic;any;36.6;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;41.8;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;33.8;1;0.011;edulis;0
umba_pioner;umba_pioner;unsystematic;any;34.6;1;0.011;edulis;0
umba_pil;umba_pil;unsystematic;any;NA;NA;0.976;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.973;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.925;trossulus;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.976;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.971;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.971;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.539;hybrid;4
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.907;hybrid;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.923;trossulus;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.711;hybrid;4
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.055;edulis;1
umba_pil;umba_pil;unsystematic;any;NA;NA;0.977;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.78;hybrid;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.97;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.679;hybrid;5
umba_pil;umba_pil;unsystematic;any;NA;NA;0.061;edulis;2
umba_pil;umba_pil;unsystematic;any;NA;NA;0.976;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.011;edulis;0
umba_pil;umba_pil;unsystematic;any;NA;NA;0.857;hybrid;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.927;trossulus;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.973;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.631;hybrid;5
umba_pil;umba_pil;unsystematic;any;NA;NA;0.528;hybrid;4
umba_pil;umba_pil;unsystematic;any;NA;NA;0.011;edulis;0
umba_pil;umba_pil;unsystematic;any;NA;NA;0.843;hybrid;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.011;edulis;0
umba_pil;umba_pil;unsystematic;any;NA;NA;0.245;hybrid;2
umba_pil;umba_pil;unsystematic;any;NA;NA;0.014;edulis;1
umba_pil;umba_pil;unsystematic;any;NA;NA;0.061;edulis;2
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.973;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.988;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.547;hybrid;4
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.011;edulis;0
umba_pil;umba_pil;unsystematic;any;NA;NA;0.976;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.976;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.972;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.947;trossulus;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.011;edulis;0
umba_pil;umba_pil;unsystematic;any;NA;NA;0.971;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.988;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.374;hybrid;3
umba_pil;umba_pil;unsystematic;any;NA;NA;0.94;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.873;hybrid;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.984;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.969;trossulus;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.043;edulis;1
umba_pil;umba_pil;unsystematic;any;NA;NA;0.909;trossulus;6
umba_pil;umba_pil;unsystematic;any;NA;NA;0.053;edulis;1
umba_pil;umba_pil;unsystematic;any;NA;NA;0.989;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.976;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.97;trossulus;7
umba_pil;umba_pil;unsystematic;any;NA;NA;0.99;trossulus;8
umba_pil;umba_pil;unsystematic;any;NA;NA;0.946;trossulus;7
umba_bridge;umba_bridge;unsystematic;any;22.5;1.032608696;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;37.5;0.839506173;0.014;edulis;1
umba_bridge;umba_bridge;unsystematic;any;38.7;1;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;19.7;1.048780488;0.086;hybrid;1
umba_bridge;umba_bridge;unsystematic;any;32.6;0.535714286;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;26.9;0.896226415;0.019;edulis;2
umba_bridge;umba_bridge;unsystematic;any;31.5;0.72;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;26.6;0.727272727;0.01;edulis;0
umba_bridge;umba_bridge;unsystematic;any;40.6;1;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;25.2;1.04;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;30.2;1;0.012;edulis;0
umba_bridge;umba_bridge;unsystematic;any;31.7;1;0.022;edulis;0
umba_bridge;umba_bridge;unsystematic;any;35;1;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;25.9;1.036363636;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;28.4;0.9;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;32.2;0.872180451;0.01;edulis;0
umba_bridge;umba_bridge;unsystematic;any;30.8;1.037037037;0.042;edulis;1
umba_bridge;umba_bridge;unsystematic;any;29.2;1;0.011;edulis;0
umba_bridge;umba_bridge;unsystematic;any;33.8;1.038961039;0.042;edulis;1
umba_bridge;umba_bridge;unsystematic;any;21.5;1.119047619;0.014;edulis;1
umba_kamni;umba_kamni;unsystematic;any;25.7;1.033898305;0.01;edulis;0
umba_kamni;umba_kamni;unsystematic;any;22.5;1.071428571;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;28;1;0.01;edulis;0
umba_kamni;umba_kamni;unsystematic;any;22;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;28.3;1;0.012;edulis;0
umba_kamni;umba_kamni;unsystematic;any;23.2;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;17.8;1.024390244;0.18;hybrid;2
umba_kamni;umba_kamni;unsystematic;any;28;1;0.012;edulis;0
umba_kamni;umba_kamni;unsystematic;any;18.1;1;0.012;edulis;0
umba_kamni;umba_kamni;unsystematic;any;19.8;1;0.014;edulis;1
umba_kamni;umba_kamni;unsystematic;any;19.4;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;17.6;1;0.014;edulis;1
umba_kamni;umba_kamni;unsystematic;any;15.5;1;0.01;edulis;0
umba_kamni;umba_kamni;unsystematic;any;26.7;0.930232558;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;25.8;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;27.9;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;17.6;1;0.012;edulis;0
umba_kamni;umba_kamni;unsystematic;any;13.4;1.053571429;0.01;edulis;0
umba_kamni;umba_kamni;unsystematic;any;16;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;17.7;1;0.01;edulis;0
umba_kamni;umba_kamni;unsystematic;any;16.4;1;0.025;edulis;2
umba_kamni;umba_kamni;unsystematic;any;20.4;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;25.5;1;0.012;edulis;0
umba_kamni;umba_kamni;unsystematic;any;19.9;1;0.058;edulis;2
umba_kamni;umba_kamni;unsystematic;any;12.2;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;16.2;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;23;1;0.014;edulis;1
umba_kamni;umba_kamni;unsystematic;any;14.5;1;0.013;edulis;1
umba_kamni;umba_kamni;unsystematic;any;21.8;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;32.2;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;NA;NA;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;18.9;1;0.043;edulis;1
umba_kamni;umba_kamni;unsystematic;any;24;0.954545455;0.015;edulis;1
umba_kamni;umba_kamni;unsystematic;any;NA;NA;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;27.8;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;21.1;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;19.1;1.064102564;0.014;edulis;1
umba_kamni;umba_kamni;unsystematic;any;24.6;1.038461538;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;19.6;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;22.6;1;0.018;edulis;2
umba_kamni;umba_kamni;unsystematic;any;17.6;1.04;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;24.2;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;18.6;1;0.011;edulis;0
umba_kamni;umba_kamni;unsystematic;any;23.7;1.036363636;0.012;edulis;0
umba_kamni;umba_kamni;unsystematic;any;16.4;0.955882353;0.01;edulis;0
umba_06;umba_06;unsystematic;any;27.1;0.75;0.011;edulis;0
umba_06;umba_06;unsystematic;any;33.4;0.892857143;0.01;edulis;0
umba_06;umba_06;unsystematic;any;31.4;0.884615385;0.01;edulis;0
umba_06;umba_06;unsystematic;any;31.6;1;0.01;edulis;0
umba_06;umba_06;unsystematic;any;30.8;1;0.011;edulis;0
umba_06;umba_06;unsystematic;any;50.3;1;0.011;edulis;0
umba_06;umba_06;unsystematic;any;44.2;1;0.169;hybrid;2
umba_06;umba_06;unsystematic;any;44.2;NA;0.011;edulis;0
umba_06;umba_06;unsystematic;any;35;1;0.011;edulis;0
umba_06;umba_06;unsystematic;any;32.5;0.967741935;0.011;edulis;0
umba_06;umba_06;unsystematic;any;30.7;0.894308943;0.09;hybrid;3
umba_06;umba_06;unsystematic;any;33.3;1.034482759;0.011;edulis;0
umba_06;umba_06;unsystematic;any;31.9;0.966666667;0.011;edulis;0
umba_06;umba_06;unsystematic;any;47.6;0.95631068;0.015;edulis;1
umba_06;umba_06;unsystematic;any;43.5;1;0.012;edulis;0
umba_06;umba_06;unsystematic;any;38.7;0.790960452;0.014;edulis;1
umba_06;umba_06;unsystematic;any;39.8;1;0.165;hybrid;2
